Date,Open,High,Low,Close,Adj Close,Volume,binary_signal,status,buy_price,sell_price,trade_return,net_trade_return,open_daily_return,strategy_return,strategy_net_return,buy_and_hold_equity,strategy_equity,strategy_net_equity
2017-01-03,28.950000762939453,29.082500457763672,28.690000534057617,29.037500381469727,27.54841423034668,115127600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0
2017-01-04,28.962499618530273,29.127500534057617,28.9375,29.0049991607666,27.517581939697266,84472400,1.0,1.0,28.962499618530273,0.0,0.0,0.0,0.00043173938726881467,0.0,0.0,10004.317393872689,10000.0,10000.0
2017-01-05,28.979999542236328,29.21500015258789,28.952499389648438,29.15250015258789,27.657520294189453,88774400,1.0,1.0,0.0,0.0,0.0,0.0,0.0006042269809771739,0.0006042269809771739,0.0006042269809771739,10010.362272368326,10006.042269809772,10006.042269809772
2017-01-06,29.19499969482422,29.540000915527344,29.11750030517578,29.477500915527344,27.965856552124023,127007600,1.0,1.0,0.0,0.0,0.0,0.0,0.007418914975293234,0.007418914975293234,0.007418914975293234,10084.62829893891,10080.27624664868,10080.27624664868
2017-01-09,29.487499237060547,29.857500076293945,29.485000610351562,29.747499465942383,28.22200584411621,134247600,1.0,1.0,0.0,0.0,0.0,0.0,0.010018823267471388,0.010018823267471388,0.010018823267471388,10185.664407584118,10181.268752851143,10181.268752851143
2017-01-10,29.6924991607666,29.844999313354492,29.575000762939453,29.77750015258789,28.250471115112305,97848400,1.0,1.0,0.0,0.0,0.0,0.0,0.006952095939299019,0.006952095939299019,0.006952095939299019,10256.476123751147,10252.049910004751,10252.049910004751
2017-01-11,29.684999465942383,29.982500076293945,29.649999618530273,29.9375,28.40226173400879,110354400,1.0,1.0,0.0,0.0,0.0,0.0,-0.00025257876690043535,-0.00025257876690043535,-0.00025257876690043535,10253.885555659066,10249.46045988028,10249.46045988028
2017-01-12,29.725000381469727,29.825000762939453,29.552499771118164,29.8125,28.28367042541504,108344800,1.0,1.0,0.0,0.0,0.0,0.0,0.001347512758867797,0.001347512758867797,0.001347512758867797,10267.702797273287,10263.27173862148,10263.27173862148
2017-01-13,29.77750015258789,29.905000686645508,29.702499389648438,29.760000228881836,28.233861923217773,104447600,1.0,1.0,0.0,0.0,0.0,0.0,0.0017661823530501497,0.0017661823530501497,0.0017661823530501497,10285.837432760194,10281.39854805079,10281.39854805079
2017-01-17,29.584999084472656,30.059999465942383,29.55500030517578,30.0,28.461563110351562,137759200,1.0,1.0,0.0,0.0,0.0,0.0,-0.006464648379776894,-0.006464648379776894,-0.006464648379776894,10219.343110465852,10214.932921585294,10214.932921585294
2017-01-18,30.0,30.125,29.927499771118164,29.997499465942383,28.459182739257812,94852000,1.0,1.0,0.0,0.0,0.0,0.0,0.014027410118973238,0.014027410118973238,0.014027410118973238,10362.69402742286,10358.221975014172,10358.221975014172
2017-01-19,29.850000381469727,30.022499084472656,29.842500686645508,29.94499969482422,28.409378051757812,102389200,1.0,1.0,0.0,0.0,0.0,0.0,-0.0049999872843424775,-0.0049999872843424775,-0.0049999872843424775,10310.880689054215,10306.430996850704,10306.430996850704
2017-01-20,30.112499237060547,30.112499237060547,29.9325008392334,30.0,28.461563110351562,130391600,1.0,1.0,0.0,0.0,0.0,0.0,0.00879393139819773,0.00879393139819773,0.00879393139819773,10401.553866488757,10397.065043997267,10397.065043997267
2017-01-23,30.0,30.202499389648438,29.9424991607666,30.020000457763672,28.480531692504883,88200800,1.0,1.0,0.0,0.0,0.0,0.0,-0.003735964795711477,-0.003735964795711477,-0.003735964795711477,10362.694027422858,10358.22197501417,10358.22197501417
2017-01-24,29.887500762939453,30.024999618530273,29.875,29.99250030517578,28.45444107055664,92844000,1.0,1.0,0.0,0.0,0.0,0.0,-0.0037499745686848662,-0.0037499745686848662,-0.0037499745686848662,10323.83418835696,10319.378906031074,10319.378906031074
2017-01-25,30.104999542236328,30.524999618530273,30.06999969482422,30.469999313354492,28.907455444335938,129510400,1.0,1.0,0.0,0.0,0.0,0.0,0.007277248807855186,0.007277248807855186,0.007277248807855186,10398.963298396675,10394.475593872794,10394.475593872794
2017-01-26,30.417499542236328,30.610000610351562,30.399999618530273,30.485000610351562,28.92168617248535,105350400,1.0,1.0,0.0,0.0,0.0,0.0,0.010380335650282069,0.010380335650282069,0.010380335650282069,10506.908027848998,10502.373739445859,10502.373739445859
2017-01-27,30.53499984741211,30.587499618530273,30.399999618530273,30.487499237060547,28.924057006835938,82251600,1.0,1.0,0.0,0.0,0.0,0.0,0.003862917956573897,0.003862917956573897,0.003862917956573897,10547.495351537846,10542.943547550614,10542.943547550614
2017-01-30,30.232500076293945,30.407499313354492,30.165000915527344,30.407499313354492,28.848155975341797,121510000,1.0,1.0,0.0,0.0,0.0,0.0,-0.009906657037163868,-0.009906657037163868,-0.009906657037163868,10443.004932489079,10438.49822166285,10438.49822166285
2017-01-31,30.287500381469727,30.34749984741211,30.155000686645508,30.337499618530273,28.781749725341797,196804000,1.0,1.0,0.0,0.0,0.0,0.0,0.0018192443574625017,0.0018192443574625017,0.0018192443574625017,10462.003310287464,10457.488400652992,10457.488400652992
2017-02-01,31.75749969482422,32.622501373291016,31.752500534057617,32.1875,30.53687858581543,447940000,1.0,1.0,0.0,0.0,0.0,0.0,0.048534850840773025,0.048534850840773025,0.048534850840773025,10969.77508044794,10965.041040347798,10965.041040347798
2017-02-02,31.9950008392334,32.34749984741211,31.94499969482422,32.13249969482422,30.484697341918945,134841600,1.0,1.0,0.0,0.0,0.0,0.0,0.007478584482137007,0.007478584482137007,0.007478584482137007,11051.813470137113,11047.044026118137,11047.044026118137
2017-02-03,32.07749938964844,32.29750061035156,32.040000915527344,32.27000045776367,30.615150451660156,98029200,1.0,1.0,0.0,0.0,0.0,0.0,0.002578482520740444,0.002578482520740444,0.002578482520740444,11080.310377992346,11075.528636045334,11075.528636045334
2017-02-06,32.282501220703125,32.625,32.224998474121094,32.5724983215332,30.902137756347656,107383600,1.0,1.0,0.0,0.0,0.0,0.0,0.006390829552032962,0.006390829552032962,0.006390829552032962,11151.122753001717,11146.31045175696,11146.31045175696
2017-02-07,32.6349983215332,33.022499084472656,32.61249923706055,32.88249969482422,31.19623374938965,152735200,1.0,1.0,0.0,0.0,0.0,0.0,0.01091913846514525,0.01091913846514525,0.01091913846514525,11272.883406383573,11268.018558955191,11268.018558955191
2017-02-08,32.837501525878906,33.05500030517578,32.80500030517578,33.0099983215332,31.317195892333984,92016400,1.0,1.0,0.0,0.0,0.0,0.0,0.006205093144193263,0.006205093144193263,0.006205093144193263,11342.832697923815,11337.937663664006,11337.937663664006
2017-02-09,32.912498474121094,33.11249923706055,32.779998779296875,33.10499954223633,31.543493270874023,113399600,1.0,1.0,0.0,0.0,0.0,0.0,0.0022838810736889315,0.0022838810736889315,0.0022838810736889315,11368.738378844622,11363.832164908714,11363.832164908714
2017-02-10,33.1150016784668,33.23500061035156,33.01250076293945,33.029998779296875,31.47203254699707,80262000,1.0,1.0,0.0,0.0,0.0,0.0,0.006152775198909,0.006152775198909,0.006152775198909,11438.687670384865,11433.751269617529,11433.751269617529
2017-02-13,33.27000045776367,33.45500183105469,33.1875,33.3224983215332,31.750734329223633,92141600,1.0,1.0,0.0,0.0,0.0,0.0,0.004680621212157954,0.004680621212157954,0.004680621212157954,11492.227834534116,11487.26832834464,11487.26832834464
2017-02-14,33.36750030517578,33.772499084472656,33.3125,33.755001068115234,32.162845611572266,132904800,1.0,1.0,0.0,0.0,0.0,0.0,0.00293056345267817,0.00293056345267817,0.00293056345267817,11525.906537415853,11520.932497078793,11520.932497078793
2017-02-15,33.880001068115234,34.067501068115234,33.654998779296875,33.877498626708984,32.27956771850586,142492400,1.0,1.0,0.0,0.0,0.0,0.0,0.015359279486091948,0.015359279486091948,0.015359279486091948,11702.936157254597,11697.885719241825,11697.885719241825
2017-02-16,33.91749954223633,33.974998474121094,33.709999084472656,33.837501525878906,32.241451263427734,90338400,1.0,1.0,0.0,0.0,0.0,0.0,0.0011068026251150886,0.0011068026251150886,0.0011068026251150886,11715.888997715001,11710.832969864177,11710.832969864177
2017-02-17,33.775001525878906,33.95750045776367,33.775001525878906,33.93000030517578,32.32958984375,88792800,1.0,1.0,0.0,0.0,0.0,0.0,-0.004201312546049385,-0.004201312546049385,-0.004201312546049385,11666.666886280778,11661.6321003832,11661.6321003832
2017-02-21,34.057498931884766,34.1875,33.994998931884766,34.17499923706055,32.56303405761719,98028800,1.0,1.0,0.0,0.0,0.0,0.0,0.00836409750535183,0.00836409750535183,0.00836409750535183,11764.24802568009,11759.171128342345,11759.171128342345
2017-02-22,34.10749816894531,34.279998779296875,34.02750015258789,34.27750015258789,32.66069412231445,83347600,1.0,1.0,0.0,0.0,0.0,0.0,0.001468083054499747,0.001468083054499747,0.001468083054499747,11781.518918855525,11776.434568210827,11776.434568210827
2017-02-23,34.345001220703125,34.369998931884766,34.07500076293945,34.13249969482422,32.52253341674805,83152800,1.0,1.0,0.0,0.0,0.0,0.0,0.006963367719947877,0.006963367719947877,0.006963367719947877,11863.55796738704,11858.438212539184,11858.438212539184
2017-02-24,33.977500915527344,34.165000915527344,33.81999969482422,34.165000915527344,32.553504943847656,87106400,1.0,1.0,0.0,0.0,0.0,0.0,-0.010700255994000485,-0.010700255994000485,-0.010700255994000485,11736.614860136335,11731.549887975978,11731.549887975978
2017-02-27,34.28499984741211,34.36000061035156,34.06999969482422,34.23249816894531,32.61781311035156,81029600,1.0,1.0,0.0,0.0,0.0,0.0,0.009050075008437242,0.009050075008437242,0.009050075008437242,11842.832104965706,11837.721294427383,11837.721294427383
2017-02-28,34.27000045776367,34.36000061035156,34.17499923706055,34.247501373291016,32.63211441040039,93931600,1.0,1.0,0.0,0.0,0.0,0.0,-0.0004374913144288284,-0.0004374913144288284,-0.0004374913144288284,11837.650968781545,11832.542394178443,11832.542394178443
2017-03-01,34.47249984741211,35.037498474121094,34.400001525878906,34.9474983215332,33.29908752441406,145658400,1.0,1.0,0.0,0.0,0.0,0.0,0.005908940383529071,0.005908940383529071,0.005908940383529071,11907.598942637102,11902.460181771225,11902.460181771225
2017-03-02,35.0,35.06999969482422,34.689998626708984,34.7400016784668,33.101375579833984,104844000,1.0,1.0,0.0,0.0,0.0,0.0,0.015302056854675339,0.015302056854675339,0.015302056854675339,12089.809698660005,12084.592304183197,12084.592304183197
2017-03-03,34.69499969482422,34.95750045776367,34.647499084472656,34.94499969482422,33.29670715332031,84432400,1.0,1.0,0.0,0.0,0.0,0.0,-0.008714294433593728,-0.008714294433593728,-0.008714294433593728,11984.455537299766,11979.283608734604,11979.283608734604
2017-03-06,34.842498779296875,34.942501068115234,34.650001525878906,34.834999084472656,33.19189453125,87000000,1.0,1.0,0.0,0.0,0.0,0.0,0.004251306694626145,0.004251306694626145,0.004251306694626145,12035.405133356939,12030.21121733724,12030.21121733724
2017-03-07,34.76499938964844,34.994998931884766,34.6974983215332,34.880001068115234,33.23477554321289,69785200,1.0,1.0,0.0,0.0,0.0,0.0,-0.0022242776024573585,-0.0022242776024573585,-0.0022242776024573585,12008.635051282312,12003.452687973686,12003.452687973686
2017-03-08,34.73749923706055,34.95000076293945,34.70500183105469,34.75,33.11090850830078,74828800,1.0,1.0,0.0,0.0,0.0,0.0,-0.0007910298596489618,-0.0007910298596489618,-0.0007910298596489618,11999.135862383122,11993.957598478615,11993.957598478615
2017-03-09,34.685001373291016,34.6974983215332,34.26250076293945,34.66999816894531,33.034671783447266,88623600,1.0,1.0,0.0,0.0,0.0,0.0,-0.0015112735494074991,-0.0015112735494074991,-0.0015112735494074991,11981.001885738553,11975.83144760732,11975.83144760732
2017-03-10,34.8125,34.84000015258789,34.65999984741211,34.78499984741211,33.144256591796875,78451200,1.0,1.0,0.0,0.0,0.0,0.0,0.003675900869566151,0.003675900869566151,0.003675900869566151,12025.042860988613,12019.853416839356,12019.853416839356
